CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Purchase Frequency,Membership
173,Female,36,47678,31,Artist,8,2,16,Standard
174,Female,43,72612,51,Lawyer,5,4,15,Gold
175,Female,42,30559,56,Artist,12,2,14,Gold
176,Male,50,37509,11,Unknown,8,4,10,Standard
177,Male,38,37860,3,Doctor,9,4,16,Platinum
178,Male,59,71642,30,Homemaker,5,3,9,Platinum
179,Male,34,21003,72,Unknown,5,1,15,Silver
180,Female,78,31732,77,Marketing,11,5,15,Standard
181,Female,47,73139,92,Artist,3,4,14,Platinum
182,Female,25,35826,49,Healthcare,7,4,15,Silver
183,Male,21,40354,70,Entertainment,3,2,24,Gold
184,Male,45,23843,75,Marketing,3,5,20,Gold
185,Male,34,54472,37,Unknown,0,1,17,Silver
186,Male,48,58529,59,Unknown,2,3,13,Platinum
187,Female,45,16190,66,Artist,1,2,15,Platinum
188,Male,36,27640,27,Marketing,7,2,13,Standard
189,Male,25,62528,91,Doctor,9,1,16,Gold
190,Male,15,48413,49,Doctor,4,3,10,Silver
191,Male,31,72606,52,Lawyer,5,3,11,Platinum
192,Male,50,62638,26,Lawyer,4,3,22,Gold
193,Male,41,62736,30,Artist,1,3,20,Platinum
194,Female,19,52356,1,Healthcare,8,0,12,Platinum
195,Male,40,54597,51,Entertainment,7,6,8,Silver
196,Female,43,50821,100,Homemaker,0,2,17,Platinum
197,Female,24,13330,24,Artist,3,3,11,Silver
198,Male,40,29087,100,Engineer,1,4,18,Platinum
199,Male,38,51430,85,Executive,3,2,18,Gold
200,Female,20,34504,38,Engineer,2,4,13,Platinum
201,Female,43,17114,50,Doctor,4,2,21,Silver
202,Female,46,23323,46,Healthcare,3,5,9,Silver
203,Female,54,44121,92,Artist,3,4,11,Gold
204,Male,53,20975,62,Doctor,9,2,11,Platinum
205,Female,17,21023,79,Healthcare,7,4,8,Silver
206,Male,23,31447,58,Homemaker,2,5,15,Standard
207,Male,45,34933,47,Engineer,2,2,16,Gold
208,Male,45,70363,58,Executive,6,0,17,Silver
209,Male,45,33959,39,Healthcare,6,4,16,Gold
210,Male,95,10667,13,Artist,2,1,22,Gold
211,Male,46,63620,70,Lawyer,4,3,14,Silver
212,Female,55,39703,12,Entertainment,12,4,14,Silver
213,Female,52,19337,43,Marketing,2,1,16,Standard
214,Male,47,56427,39,Artist,12,3,17,Gold
215,Male,33,65971,66,Marketing,9,2,16,Gold
216,Male,49,71529,89,Unknown,11,2,17,Standard
217,Female,26,46487,80,Lawyer,2,3,15,Platinum
218,Female,34,29129,66,Healthcare,4,1,9,Standard
219,Male,30,50251,34,Healthcare,3,5,16,Gold
220,Male,39,41921,45,Executive,9,7,23,Gold
221,Female,72,43307,41,Unknown,2,1,18,Platinum
222,Female,9,37355,38,Entertainment,7,1,13,Silver
223,Female,48,47732,39,Homemaker,7,0,16,Gold
224,Female,13,71480,39,Marketing,4,3,22,Platinum
225,Male,30,14835,38,Homemaker,10,3,23,Platinum
226,Female,54,30159,73,Marketing,5,6,18,Silver
227,Female,38,48810,23,Unknown,8,3,18,Standard
228,Female,21,57605,31,Lawyer,3,4,17,Gold
229,Male,27,66254,10,Healthcare,2,3,18,Gold
230,Female,48,50080,85,Engineer,7,3,21,Platinum
231,Male,27,48088,30,Engineer,6,3,19,Platinum
232,Male,41,23216,66,Homemaker,5,1,12,Silver
233,Female,38,65284,61,Doctor,3,1,17,Gold
234,Female,28,67043,82,Lawyer,11,5,11,Silver
235,Male,70,69852,44,Homemaker,0,3,19,Gold
236,Male,47,45547,26,Marketing,0,3,21,Silver
237,Female,7,41471,11,Engineer,8,2,13,Gold
238,Male,40,27308,1,Doctor,8,0,13,Standard
239,Female,28,37532,54,Marketing,6,4,11,Silver
240,Female,50,44349,69,Engineer,3,4,16,Platinum
241,Male,26,66866,61,Unknown,7,3,13,Silver
242,Female,36,62476,11,Unknown,11,4,14,Gold
243,Female,45,55445,75,Engineer,15,2,12,Gold
244,Female,50,15713,32,Healthcare,0,4,14,Platinum
245,Male,19,66178,27,Entertainment,3,2,12,Platinum
246,Female,32,59407,31,Homemaker,3,1,14,Platinum
247,Male,30,14804,51,Unknown,11,3,19,Silver
248,Male,28,60990,12,Artist,0,5,20,Silver
249,Female,64,20136,49,Homemaker,7,4,19,Gold
250,Male,44,73937,60,Healthcare,3,2,20,Platinum
251,Male,19,10009,77,Homemaker,11,5,19,Platinum
252,Female,51,29255,54,Doctor,11,4,15,Standard
253,Male,69,68141,16,Engineer,6,6,19,Standard
254,Female,53,33793,53,Marketing,0,1,15,Gold
255,Male,15,66570,23,Unknown,2,1,16,Platinum
256,Male,30,39548,22,Doctor,3,8,16,Platinum
257,Male,57,47892,15,Engineer,0,1,15,Gold
258,Male,27,74630,2,Unknown,9,5,11,Silver
259,Male,44,11015,35,Marketing,0,3,18,Standard
260,Female,49,69168,78,Entertainment,12,4,14,Gold
261,Female,24,71813,100,Artist,12,3,9,Platinum
262,Female,37,37712,35,Artist,3,1,18,Silver
263,Male,39,44961,77,Executive,6,1,19,Gold
264,Male,22,18415,40,Entertainment,4,3,19,Platinum
265,Female,34,56318,8,Unknown,8,1,22,Standard
266,Female,19,57280,67,Unknown,10,4,16,Platinum
267,Female,62,73242,55,Engineer,6,0,18,Silver
268,Male,16,72292,95,Unknown,6,3,19,Silver
269,Female,31,33833,11,Doctor,2,5,13,Standard
270,Male,39,14158,100,Unknown,6,2,12,Gold
271,Female,59,72680,89,Homemaker,5,3,21,Gold
272,Male,16,30309,49,Artist,1,3,19,Platinum
273,Female,55,16970,42,Marketing,4,1,15,Standard
274,Female,38,16938,32,Unknown,3,3,20,Standard
275,Male,23,31168,52,Lawyer,2,4,14,Platinum
276,Male,44,56540,45,Marketing,0,2,14,Gold
277,Male,40,30384,62,Executive,5,0,18,Standard
278,Female,28,28017,42,Executive,1,5,15,Platinum
279,Male,39,20344,85,Artist,3,4,15,Standard
280,Female,32,50034,53,Marketing,9,3,12,Silver
281,Female,39,18702,43,Lawyer,7,3,13,Silver
282,Male,47,10384,75,Unknown,1,3,10,Silver
283,Female,61,10404,9,Unknown,6,4,16,Standard
284,Male,19,50943,58,Healthcare,5,3,11,Platinum
285,Female,69,57926,50,Unknown,11,4,11,Platinum
286,Male,8,39189,14,Lawyer,10,2,12,Gold
287,Female,35,22763,7,Executive,0,2,18,Standard
288,Male,46,28384,75,Doctor,8,2,17,Silver
289,Male,42,70100,74,Artist,10,3,18,Silver
290,Male,28,42606,54,Healthcare,7,4,13,Gold
291,Male,34,19860,92,Unknown,3,5,16,Gold
292,Female,30,48757,61,Lawyer,14,6,23,Silver
293,Female,29,25106,81,Lawyer,7,2,15,Silver
294,Male,50,60612,60,Marketing,12,2,18,Platinum
295,Female,43,33574,43,Entertainment,10,2,18,Standard
296,Female,27,33524,23,Unknown,6,5,20,Silver
297,Male,51,13636,34,Homemaker,2,6,14,Silver
298,Male,42,20916,43,Entertainment,4,5,11,Standard
299,Male,50,14809,84,Healthcare,4,0,20,Gold
300,Female,47,42201,69,Unknown,0,0,17,Gold
